Voter||Weight||% Weight||Author||Rep||Permlink||vote_tstamp||Total Payout||Pending Payout||Curator Payout||Total Payout Value||Total Reward Shares||Ratio||Delegatee Vote Value||Vote Count||Created||Vote Date||Comments||json_metadata
eastmael||10000||100||freyman||53||report-autoras-es-y-posts-mas-valorados-en-la-categoria-pt-semana-3-2018||2018-01-21 11:19:24||0.621||0.621||0||0||68662453512||9.044244244657949e-12||0||3||2018-01-20 09:00:39||2018-01-21||0||"{""tags"":[""report"",""steemsql"",""steembi"",""blockchainbi"",""pt""]}"
eastmael||10000||100||utopian-io||65||re-eastmael-steem-dev-steem-goal-setter-20180120t220106768z||2018-01-21 00:59:00||0.334||0.334||0||0||39610620697||8.432081954860562e-12||0.33399999999999996||1||2018-01-20 22:01:06||2018-01-21||0||"{""tags"":[""utopian-io""]}"
eastmael||10000||100||steemdunk||52||steem-dunk-important-service-update-for-all-users||2018-01-20 21:28:00||56.497||56.497||0||0||6557723923169||8.615336763475397e-12||0.3375695519889974||391||2018-01-20 21:20:06||2018-01-20||5||"{""tags"":[""steemdunk"",""curation"",""bot""]}"
eastmael||1000||10||arcange||69||daily-hit-parade-20180119||2018-01-20 16:34:39||8.157||8.157||0||0||933202836273||8.740864989842084e-12||0.0336873490704537||58||2018-01-20 16:09:03||2018-01-20||1||"{""tags"":[""hit-parade"",""steemit""]}"
eastmael||1000||10||arcange||69||steemit-statistics-20180119-pt||2018-01-20 16:04:33||5.415||5.415||0||0||638760426445||8.477356730029447e-12||0.03267178656702044||60||2018-01-20 15:34:48||2018-01-20||1||"{""tags"":[""pt"",""statistics"",""stats"",""steemit""]}"
eastmael||1000||10||arcange||69||steemit-statistics-20180119-es||2018-01-20 15:39:33||6.952||6.952||0||0||824218905320||8.434652438966941e-12||0.03250720395860575||61||2018-01-20 15:09:45||2018-01-20||3||"{""tags"":[""spanish"",""statistics"",""stats"",""steemit""]}"
eastmael||1000||10||arcange||69||steemit-statistics-20180119-en||2018-01-20 15:04:33||7.405||7.405||0||0||879486797941||8.419682952985908e-12||0.03244923222597311||71||2018-01-20 14:34:48||2018-01-20||10||"{""tags"":[""statistics"",""stats"",""steemit""]}"
eastmael||2000||20||rt395||58||enough-bitcoin-blockstream-and-gregory-maxwell-fud||2018-01-20 14:59:30||19.922||19.922||0||0||2199578030518||9.057191753869434e-12||0.06787311619051394||20||2018-01-20 14:50:09||2018-01-20||4||"{""tags"":[""bitcoin"",""cryptocurrency"",""fud"",""crypto"",""rt395""]}"
eastmael||1000||10||arcange||69||steemit-statistics-20180119-cn||2018-01-20 14:39:21||7.465||7.465||0||0||895042720382||8.340384017439942e-12||0.032143616255731505||73||2018-01-20 14:09:48||2018-01-20||3||"{""tags"":[""cn"",""statistics"",""stats"",""steemit""]}"
eastmael||1000||10||arcange||69||steemit-statistics-20180119-kr||2018-01-20 14:04:15||7.477||7.477||0||0||897944112383||8.326798847377303e-12||0.03209125937475945||77||2018-01-20 13:34:48||2018-01-20||2||"{""tags"":[""kr"",""statistics"",""stats"",""steemit""]}"
