Date,Lang Code,Count
1970-01-01,zu,1
1970-01-01,zh-Hant,35
1970-01-01,zh,147
1970-01-01,xx-Qaai,1
1970-01-01,xh,1
1970-01-01,war,1
1970-01-01,vo,1
1970-01-01,vi,11
1970-01-01,ur,2
1970-01-01,uk,15
1970-01-01,tr,86
1970-01-01,tl,13
1970-01-01,th,51
1970-01-01,te,1
1970-01-01,sv,1
1970-01-01,ss,1
1970-01-01,sr,6
1970-01-01,sq,2
1970-01-01,so,1
1970-01-01,sl,2
1970-01-01,sk,3
1970-01-01,sco,11
1970-01-01,rw,1
1970-01-01,ru,205
1970-01-01,ro,8
1970-01-01,rm,1
1970-01-01,pt,68
1970-01-01,pl,331
1970-01-01,pa,1
1970-01-01,oc,1
1970-01-01,no,5
1970-01-01,nl,34
1970-01-01,ne,2
1970-01-01,my,13
1970-01-01,mt,2
1970-01-01,ms,23
1970-01-01,ml,1
1970-01-01,mi,1
1970-01-01,lt,68
1970-01-01,la,11
1970-01-01,ko,572
1970-01-01,km,1
1970-01-01,kl,1
1970-01-01,kha,8
1970-01-01,ka,1
1970-01-01,jw,1
1970-01-01,ja,35
1970-01-01,iw,1
1970-01-01,it,26
1970-01-01,is,1
1970-01-01,ie,1
1970-01-01,id,231
1970-01-01,hy,1
1970-01-01,hu,4
1970-01-01,hr,4
1970-01-01,hi,4
1970-01-01,ha,2
1970-01-01,gl,3
1970-01-01,gd,1
1970-01-01,ga,3
1970-01-01,fy,2
1970-01-01,fr,100
1970-01-01,fa,1
1970-01-01,eu,1
1970-01-01,et,1
1970-01-01,es,747
1970-01-01,eo,4
1970-01-01,en,22462
1970-01-01,el,3
1970-01-01,de,206
1970-01-01,da,32
1970-01-01,cy,1
1970-01-01,cs,23
1970-01-01,crs,1
1970-01-01,co,1
1970-01-01,ceb,1
1970-01-01,ca,2
1970-01-01,bs,3
1970-01-01,br,2
1970-01-01,bo,1
1970-01-01,bn,28
1970-01-01,ar,30
1970-01-01,aa,2
2016-03-30,en,1
2016-04-06,en,1
2016-04-08,en,13
2016-04-09,en,3
2016-04-10,en,2
2016-04-11,en,3
2016-04-12,en,3
2016-04-13,en,6
2016-04-14,en,6
2016-04-15,en,4
2016-04-16,en,9
2016-04-17,en,13
2016-04-18,en,15
2016-04-19,en,14
2016-04-20,en,25
2016-04-21,en,13
2016-04-22,en,34
2016-04-23,en,8
2016-04-24,en,13
2016-04-25,en,17
2016-04-26,en,4
2016-04-27,en,30
2016-04-28,en,47
2016-04-29,it,1
2016-04-29,en,35
2016-04-30,ru,2
2016-04-30,en,43
2016-05-01,en,28
2016-05-02,es,1
2016-05-02,en,38
2016-05-03,en,58
2016-05-04,en,61
2016-05-05,en,83
2016-05-06,en,58
2016-05-07,en,63
2016-05-08,en,71
2016-05-09,pt,1
2016-05-09,ms,1
2016-05-09,en,68
2016-05-10,ru,10
2016-05-10,en,126
2016-05-11,ko,6
2016-05-11,iw,2
2016-05-11,fr,1
2016-05-11,es,2
2016-05-11,en,116
2016-05-11,de,1
2016-05-11,cs,1
2016-05-12,nl,1
2016-05-12,lt,1
2016-05-12,ko,23
2016-05-12,es,8
2016-05-12,en,91
2016-05-13,pt,1
2016-05-13,ko,1
2016-05-13,ja,1
2016-05-13,es,2
2016-05-13,en,122
2016-05-13,da,1
2016-05-14,na,1
2016-05-14,ko,1
2016-05-14,ja,1
2016-05-14,en,66
2016-05-15,vo,2
2016-05-15,ko,4
2016-05-15,en,106
2016-05-16,ko,1
2016-05-16,id,1
2016-05-16,fr,1
2016-05-16,en,117
2016-05-17,pt,1
2016-05-17,ko,1
2016-05-17,es,4
2016-05-17,en,102
2016-05-18,zh,1
2016-05-18,id,1
2016-05-18,es,2
2016-05-18,en,136
2016-05-19,sco,1
2016-05-19,ko,2
2016-05-19,es,5
2016-05-19,en,131
2016-05-20,zh,1
2016-05-20,ko,1
2016-05-20,es,3
2016-05-20,en,137
2016-05-20,bg,1
2016-05-21,zh,1
2016-05-21,fr,1
2016-05-21,es,3
2016-05-21,en,87
2016-05-22,tr,1
2016-05-22,es,5
2016-05-22,en,137
2016-05-23,ko,1
2016-05-23,fi,1
2016-05-23,es,1
2016-05-23,en,161
2016-05-24,sco,1
2016-05-24,nl,1
2016-05-24,ko,2
2016-05-24,es,4
2016-05-24,en,216
2016-05-24,da,2
2016-05-25,zh,1
2016-05-25,tr,5
2016-05-25,pl,1
2016-05-25,it,1
2016-05-25,es,1
2016-05-25,en,197
2016-05-26,tr,1
2016-05-26,pt,1
2016-05-26,ko,1
2016-05-26,es,5
2016-05-26,en,188
2016-05-26,de,1
2016-05-27,ru,2
2016-05-27,es,1
2016-05-27,en,144
2016-05-28,th,1
2016-05-28,hr,1
2016-05-28,es,1
2016-05-28,en,179
2016-05-29,nl,2
2016-05-29,ko,1
2016-05-29,gl,1
2016-05-29,es,1
2016-05-29,en,160
2016-05-30,ko,2
2016-05-30,en,180
2016-05-31,en,150
2016-06-01,ko,1
2016-06-01,es,2
2016-06-01,en,156
2016-06-02,es,2
2016-06-02,en,135
2016-06-03,pl,1
2016-06-03,en,156
2016-06-04,en,132
2016-06-05,ru,1
2016-06-05,fr,1
2016-06-05,es,1
2016-06-05,en,106
2016-06-06,pt,1
2016-06-06,pl,1
2016-06-06,iw,1
2016-06-06,en,97
2016-06-06,de,1
2016-06-07,ru,1
2016-06-07,en,97
2016-06-07,da,1
2016-06-08,ru,1
2016-06-08,om,1
2016-06-08,en,142
2016-06-08,de,1
2016-06-09,en,136
2016-06-09,aa,1
2016-06-10,ru,3
2016-06-10,en,181
2016-06-10,el,1
2016-06-11,ru,7
2016-06-11,fr,1
2016-06-11,en,151
2016-06-12,ru,6
2016-06-12,en,151
2016-06-12,de,1
2016-06-13,ru,6
2016-06-13,en,195
2016-06-14,ru,6
2016-06-14,ko,1
2016-06-14,en,162
2016-06-15,ru,2
2016-06-15,fr,1
2016-06-15,en,130
2016-06-16,ru,12
2016-06-16,pl,2
2016-06-16,nl,1
2016-06-16,en,136
2016-06-17,su,1
2016-06-17,sco,1
2016-06-17,ru,5
2016-06-17,nl,3
2016-06-17,ko,1
2016-06-17,en,170
2016-06-18,ru,2
2016-06-18,it,1
2016-06-18,en,104
2016-06-19,ru,2
2016-06-19,nl,1
2016-06-19,ja,1
2016-06-19,en,133
2016-06-20,id,1
2016-06-20,fr,1
2016-06-20,en,150
2016-06-20,de,1
2016-06-21,ko,1
2016-06-21,en,153
2016-06-22,zh,1
2016-06-22,nl,1
2016-06-22,fr,2
2016-06-22,en,118
2016-06-23,ru,1
2016-06-23,it,1
2016-06-23,id,1
2016-06-23,es,2
2016-06-23,en,152
2016-06-24,ru,3
2016-06-24,it,1
2016-06-24,en,122
2016-06-25,ru,1
2016-06-25,en,121
2016-06-26,en,92
2016-06-27,es,1
2016-06-27,en,117
2016-06-27,aa,1
2016-06-28,pt,1
2016-06-28,ko,1
2016-06-28,es,2
2016-06-28,en,147
2016-06-28,aa,1
2016-06-29,ru,1
2016-06-29,ko,1
2016-06-29,es,5
2016-06-29,en,143
2016-06-30,es,1
2016-06-30,en,154
2016-07-01,ru,1
2016-07-01,es,1
2016-07-01,en,164
2016-07-02,es,1
2016-07-02,en,128
2016-07-03,nl,1
2016-07-03,es,2
2016-07-03,en,170
2016-07-04,ru,1
2016-07-04,id,3
2016-07-04,fr,3
2016-07-04,es,5
2016-07-04,en,363
2016-07-04,bi,1
2016-07-05,pt,1
2016-07-05,id,1
2016-07-05,hi,1
2016-07-05,fr,1
2016-07-05,es,4
2016-07-05,en,398
2016-07-06,ru,1
2016-07-06,fr,1
2016-07-06,es,2
2016-07-06,en,429
2016-07-07,sk,1
2016-07-07,ru,4
2016-07-07,pt,1
2016-07-07,nl,2
2016-07-07,fr,1
2016-07-07,es,3
2016-07-07,en,493
2016-07-08,zh,1
2016-07-08,ru,9
2016-07-08,pt,4
2016-07-08,id,58
2016-07-08,fr,1
2016-07-08,es,3
2016-07-08,en,716
2016-07-08,el,1
2016-07-09,vi,1
2016-07-09,ru,8
2016-07-09,pt,1
2016-07-09,it,1
2016-07-09,id,2
2016-07-09,fr,1
2016-07-09,en,687
2016-07-10,sco,1
2016-07-10,ru,14
2016-07-10,pt,4
2016-07-10,nl,2
2016-07-10,la,1
2016-07-10,it,1
2016-07-10,id,2
2016-07-10,fr,2
2016-07-10,es,3
2016-07-10,en,786
2016-07-10,de,1
2016-07-11,ru,20
2016-07-11,pt,3
2016-07-11,id,4
2016-07-11,fr,2
2016-07-11,es,4
2016-07-11,en,842
2016-07-12,zh,1
2016-07-12,ru,29
2016-07-12,pt,16
2016-07-12,ms,1
2016-07-12,ja,1
2016-07-12,it,1
2016-07-12,id,5
2016-07-12,fr,2
2016-07-12,es,8
2016-07-12,en,1238
2016-07-12,de,2
2016-07-13,zh,4
2016-07-13,ru,74
2016-07-13,ro,1
2016-07-13,pt,19
2016-07-13,pl,3
2016-07-13,nl,3
2016-07-13,ko,2
2016-07-13,ja,4
2016-07-13,it,2
2016-07-13,id,1
2016-07-13,fr,1
2016-07-13,es,34
2016-07-13,en,2688
2016-07-13,el,1
2016-07-13,de,5
2016-07-13,cs,1
2016-07-14,zh-Hant,1
2016-07-14,zh,7
2016-07-14,vi,3
2016-07-14,tr,6
2016-07-14,th,2
2016-07-14,sk,1
2016-07-14,ru,76
2016-07-14,pt,8
2016-07-14,pl,2
2016-07-14,no,1
2016-07-14,nl,1
2016-07-14,ko,1
2016-07-14,ja,3
2016-07-14,it,1
2016-07-14,id,5
2016-07-14,ia,1
2016-07-14,fr,7
2016-07-14,es,34
2016-07-14,en,2027
2016-07-14,de,8
2016-07-14,cs,1
2016-07-15,zh,1
2016-07-15,uk,1
2016-07-15,tr,9
2016-07-15,sr,1
2016-07-15,sk,8
2016-07-15,sco,3
2016-07-15,ru,96
2016-07-15,pt,11
2016-07-15,pl,2
2016-07-15,nl,3
2016-07-15,la,2
2016-07-15,ko,1
2016-07-15,id,6
2016-07-15,fr,1
2016-07-15,fa,1
2016-07-15,es,49
2016-07-15,en,2263
2016-07-15,el,1
2016-07-15,de,7
2016-07-15,cs,1
2016-07-16,zh,1
2016-07-16,za,1
2016-07-16,war,1
2016-07-16,th,2
2016-07-16,sl,1
2016-07-16,ru,19
2016-07-16,pt,4
2016-07-16,no,1
2016-07-16,nl,2
2016-07-16,la,1
2016-07-16,es,22
2016-07-16,en,1089
2016-07-16,de,1
2016-07-16,br,1
2016-07-16,af,1
2016-07-16,aa,1
2016-07-17,zh,3
2016-07-17,sr,1
2016-07-17,sk,1
2016-07-17,sco,1
2016-07-17,ru,58
2016-07-17,pt,7
2016-07-17,pl,5
2016-07-17,oc,1
2016-07-17,nl,5
2016-07-17,ln,2
2016-07-17,ko,2
2016-07-17,ja,1
2016-07-17,it,2
2016-07-17,id,5
2016-07-17,fr,3
2016-07-17,fa,11
2016-07-17,es,55
2016-07-17,en,3665
2016-07-17,de,3
2016-07-17,da,2
2016-07-17,cs,2
2016-07-18,zh-Hant,1
2016-07-18,sl,1
2016-07-18,sk,1
2016-07-18,sco,1
2016-07-18,ru,88
2016-07-18,pt,4
2016-07-18,no,2
2016-07-18,ne,1
2016-07-18,la,1
2016-07-18,it,5
2016-07-18,id,4
2016-07-18,fr,1
2016-07-18,fa,9
2016-07-18,es,32
2016-07-18,en,3216
2016-07-18,de,4
2016-07-18,ar,1
2016-07-18,aa,1
2016-07-19,zh-Hant,1
