Voter||Weight||% Weight||Author||Rep||Permlink||vote_tstamp||Total Payout||Pending Payout||Curator Payout||Total Payout Value||Total Reward Shares||Ratio||Delegatee Vote Value||Vote Count||Created||Vote Date||Comments||json_metadata||depth||Word Count
freedompoint||3900||39||muhammadabi||38||re-freedompoint-livin-the-dream-20180303t030004062z||2018-03-03 03:30:57||0.036||0.036||0||0||6738368003||5.342539912330757e-12||0.03386467456962961||2||2018-03-03 03:00:12||2018-03-03||1||"{""tags"":[""blog""]}"||1||53
freedompoint||3900||39||mtnmeadowmomma||50||re-freedompoint-livin-the-dream-20180303t023903254z||2018-03-03 02:55:06||0.1||0.1||0||0||18689102359||5.3507117719778336e-12||0.033916473409155025||2||2018-03-03 02:39:03||2018-03-03||1||"{""tags"":[""blog""]}"||1||27
freedompoint||3900||39||facelessmyth||31||re-freedompoint-livin-the-dream-20180303t021826575z||2018-03-03 02:25:42||0.034||0.034||0||0||6338684432||5.363889047442645e-12||0.034||1||2018-03-03 02:18:27||2018-03-03||0||"{""tags"":[""blog""]}"||1||11
freedompoint||3900||39||basicstoliving||57||re-freedompoint-livin-the-dream-20180303t015745163z||2018-03-03 02:24:48||0.034||0.034||0||0||6338684432||5.363889047442645e-12||0.034||1||2018-03-03 01:57:48||2018-03-03||1||"{""tags"":[""blog""]}"||1||17
freedompoint||3900||39||iske||25||auzr9dq4k||2018-03-03 01:51:42||0.034||0.034||0||0||6338684432||5.363889047442645e-12||0.034||1||2018-03-02 16:01:06||2018-03-03||1||"{""tags"":[]}"||1||9
freedompoint||3900||39||plantbasedmiri||58||re-freedompoint-re-plantbasedmiri-super-yummy-healthy-and-simple-breakfast-bowl-5d0868e528808-20180302t162637987z||2018-03-03 01:51:33||0.034||0.034||0||0||6482745442||5.244691512907935e-12||0.034||1||2018-03-02 16:26:42||2018-03-03||0||"{""tags"":[""food""]}"||2||10
freedompoint||3900||39||simms50||52||re-freedompoint-bm92b7kj-20180302t163904413z||2018-03-03 01:50:12||0.034||0.034||0||0||6482745442||5.244691512907935e-12||0.034||1||2018-03-02 16:39:03||2018-03-03||1||"{""tags"":[""dtube""]}"||1||25
freedompoint||3900||39||squishysquid||52||re-freedompoint-how-i-make-custom-freedompoint-knives-step-6-finishing-touches-20180302t171025211z||2018-03-03 01:49:42||0.034||0.034||0||0||6482745442||5.244691512907935e-12||0.034||1||2018-03-02 17:10:24||2018-03-03||0||"{""tags"":[""homesteading""]}"||1||5
freedompoint||3900||39||walkerland||53||re-freedompoint-a-cup-full-of-sunshine-2018-03-02-14-42-56-20180302t232205822z||2018-03-03 01:48:57||0.035||0.035||0||0||6626806452||5.281578729289256e-12||0.035||1||2018-03-02 23:22:06||2018-03-03||1||"{""tags"":[""photography""]}"||1||5
freedompoint||3900||39||fetherhd||36||re-freedompoint-a-cup-full-of-sunshine-2018-03-02-14-42-56-20180302t202405499z||2018-03-03 01:47:51||0.035||0.035||0||0||6626806452||5.281578729289256e-12||0.035||1||2018-03-02 20:24:30||2018-03-03||1||"{""tags"":[""photography""]}"||1||2
freedompoint||3900||39||mehrab||47||re-freedompoint-a-cup-full-of-sunshine-2018-03-02-14-42-56-20180302t190935495z||2018-03-03 01:47:39||0.035||0.035||0||0||6626806452||5.281578729289256e-12||0.035||1||2018-03-02 19:09:51||2018-03-03||0||"{""tags"":[""photography""]}"||1||10
freedompoint||3900||39||simms50||52||re-freedompoint-a-cup-full-of-sunshine-2018-03-02-14-42-56-20180302t174708599z||2018-03-03 01:47:21||0.036||0.036||0||0||6770867461||5.316896277671798e-12||0.036||1||2018-03-02 17:47:09||2018-03-03||0||"{""tags"":[""photography""]}"||1||32
freedompoint||3900||39||lilianajimenez||41||re-freedompoint-a-cup-full-of-sunshine-2018-03-02-14-42-56-20180302t173318568z||2018-03-03 01:46:18||0.036||0.036||0||0||6770867461||5.316896277671798e-12||0.036||1||2018-03-02 17:03:27||2018-03-03||1||"{""tags"":[""photography""]}"||1||17
freedompoint||3900||39||plantbasedmiri||58||re-freedompoint-a-cup-full-of-sunshine-2018-03-02-14-42-56-20180302t162940808z||2018-03-03 01:44:42||0.037||0.037||0||0||6914928471||5.350742260772692e-12||0.037||1||2018-03-02 16:29:45||2018-03-03||1||"{""tags"":[""photography""]}"||1||59
freedompoint||3900||39||tedgoodwin||44||re-freedompoint-a-cup-full-of-sunshine-2018-03-02-14-42-56-20180302t152410596z||2018-03-03 01:44:18||0.037||0.037||0||0||6914928471||5.350742260772692e-12||0.037||1||2018-03-02 15:24:15||2018-03-03||0||"{""tags"":[""photography""]}"||1||4
freedompoint||3900||39||salaheddine12||30||re-salaheddine12-re-freedompoint-a-cup-f-20180302t144607z||2018-03-03 01:43:15||0.037||0.037||0||0||6914928471||5.350742260772692e-12||0.037||1||2018-03-02 14:46:12||2018-03-03||1||"{""tags"":[]}"||1||6
freedompoint||3900||39||bowentroyer||54||re-freedompoint-livin-the-dream-20180303t012618955z||2018-03-03 01:42:21||0.037||0.037||0||0||7058989481||5.241543438985045e-12||0.037||1||2018-03-03 01:26:18||2018-03-03||1||"{""tags"":[""blog""]}"||1||6
