Voter||Weight||% Weight||Author||Rep||Permlink||vote_tstamp||Total Payout||Pending Payout||Curator Payout||Total Payout Value||Total Reward Shares||Ratio||Delegatee Vote Value||Vote Count||Created||Vote Date||Comments||json_metadata||depth||Word Count
karenfoster||2400||24||perceptualflaws||62||re-karenfoster-ophumanangels-love-for-aunt-betty-jean-and-growing-for-the-community-20180302t210034179z||2018-03-03 02:29:09||0.037||0.037||0||0||6933438591||5.3364574466741675e-12||0.037||1||2018-03-02 21:00:30||2018-03-03||1||"{""tags"":[""ophumanangels"",""ophumananagels""]}"||1||60
karenfoster||10000||100||fishyculture||57||ophumanangels-revenge-of-the-blonde||2018-03-02 17:58:12||1.795||1.795||0||0||333303195501||5.385486920705548e-12||0.1509156023541457||43||2018-03-02 17:13:18||2018-03-02||8||"{""tags"":[""ophumanangels"",""teamgood"",""community"",""thealliance"",""love""]}"||0||474
karenfoster||4300||43||grow-pro||57||march-forward-grow-pro-s-steemit-goals-for-2018||2018-03-02 17:58:09||12.272||12.272||0||0||2282343781341||5.376928795884351e-12||0.06524105982930921||25||2018-03-02 17:24:51||2018-03-02||10||"{""tags"":[""goals"",""milestones"",""steemit"",""community"",""minnowsunite""]}"||0||1293
karenfoster||4300||43||trucklife-family||57||freedom-challenge-expressing-my-freedom||2018-03-02 17:57:12||2.463||2.463||0||0||455432630545||5.408044647685028e-12||0.06639977842485313||20||2018-03-02 17:28:42||2018-03-02||7||"{""tags"":[""freedomchallenge"",""teamgirlpowa"",""poetryfreedom"",""life""]}"||0||328
karenfoster||4300||43||kimmys-garden||25||kimmys-kitchen-and-garden||2018-03-02 17:56:48||0.11||0.11||0||0||20625354674||5.333241621229635e-12||0.06625171836257171||5||2018-03-02 16:18:27||2018-03-02||4||"{""tags"":[""allotment"",""gardening"",""family"",""plants"",""gyo""]}"||0||72
karenfoster||4300||43||muxxybot||55||muxxybot-curation-63||2018-03-02 17:56:45||2.315||2.315||0||0||431596558793||5.363805509650293e-12||0.06663139554045355||23||2018-03-02 17:24:12||2018-03-02||1||"{""tags"":[""curation"",""muxxybot"",""sharingiscaring"",""thewritersblock""]}"||0||612
karenfoster||4300||43||freedompoint||59||bm92b7kj||2018-03-02 14:32:24||72.066||72.066||0||0||13380233561855||5.3860046363801264e-12||0.06612917195570107||31||2018-03-02 13:06:30||2018-03-02||11||"{""tags"":[""dtube"",""dtubedaily"",""vlog"",""health"",""inspiration""]}"||0||99
karenfoster||4300||43||beatitudes8||55||42vzra-take-my-sbd-please||2018-03-02 14:31:30||1.508||1.508||0||0||278026110109||5.4239510073668595e-12||0.06659507613913361||71||2018-03-02 13:32:15||2018-03-02||54||"{""tags"":[""homesteading"",""basicincome"",""giveaway"",""free"",""contest""]}"||0||53
karenfoster||4300||43||livesustainably||47||daily-digest-58-or-energy-and-lighting-focus||2018-03-02 14:31:00||0.636||0.636||0||0||117293553969||5.4222928582084835e-12||0.06735794941137258||12||2018-03-02 14:18:57||2018-03-02||1||"{""tags"":[""livesustainably"",""energy"",""permaculture"",""busy"",""environment""]}"||0||314
karenfoster||2400||24||impatientoptim||41||re-karenfoster-new-silkies-on-the-homestead-chickenmadness-20180302t015712482z||2018-03-02 12:48:27||0.038||0.038||0||0||6933438591||5.48068602631401e-12||0.038||1||2018-03-02 01:57:18||2018-03-02||1||"{""tags"":[""chickens""]}"||1||31
karenfoster||2400||24||mtnmeadowmomma||50||re-karenfoster-new-silkies-on-the-homestead-chickenmadness-20180302t032933650z||2018-03-02 12:47:45||0.105||0.105||0||0||19112322936||5.493837685330329e-12||0.03809118622015942||2||2018-03-02 03:29:33||2018-03-02||1||"{""tags"":[""chickens""]}"||1||29
karenfoster||2400||24||ridhasteem||47||re-lyndsaybowes-5zu6gm-this-week-s-random-acts-of-kindness-by-the-steem-blockchain-operation-human-angels-20180301t183916680z||2018-03-02 02:47:24||0.046||0.046||0||0||8495788753||5.4144472440839185e-12||0.034412342683163226||4||2018-03-01 18:39:24||2018-03-02||0||"{""tags"":[""ophumanangels""]}"||1||20
karenfoster||2400||24||phoenixwren||57||re-madushanka-re-lyndsaybowes-5zu6gm-this-week-s-random-acts-of-kindness-by-the-steem-blockchain-operation-human-angels-20180301t193109575z||2018-03-02 02:47:18||0.036||0.036||0||0||6500098679||5.538377458223199e-12||0.036||1||2018-03-01 19:31:15||2018-03-02||0||"{""tags"":[""ophumanangels""]}"||2||126
