Voter||Weight||% Weight||Author||Rep||Permlink||vote_tstamp||Total Payout||Pending Payout||Curator Payout||Total Payout Value||Total Reward Shares||Ratio||Delegatee Vote Value||Vote Count||Created||Vote Date||Comments||json_metadata||depth||Word Count
walkerland||10000||100||zipporah||54||choosing-life||2018-03-03 05:05:21||14.31||0||3.422||10.888||2065856692587||6.926908362690003e-12||0||53||2018-02-09 02:45:36||2018-03-03||46||"{""tags"":[""life"",""writing"",""art"",""depression"",""ocd-resteem""]}"||0||2810
walkerland||10000||100||freedompoint||59||livin-the-dream||2018-03-03 03:13:27||2.803||2.803||0||0||517861833189||5.412640631843998e-12||0.10672951714079326||31||2018-03-03 01:19:00||2018-03-03||14||"{""tags"":[""blog"",""homesteading"",""homesteadersonline"",""walkwithme"",""life""]}"||0||457
walkerland||10000||100||goldendawne||59||someone-gets-a-snow-day-and-it-s-not-me-and-the-indoor-jungle-re-organization||2018-03-02 23:51:03||8.078||8.078||0||0||1501669978964||5.379344405335319e-12||0.10491369591293725||69||2018-03-02 16:22:27||2018-03-02||16||"{""tags"":[""homesteadersonline"",""homesteading"",""gardening"",""winterweather""]}"||0||335
walkerland||4000||40||mountainjewel||58||ecotrain-question-of-the-week-what-is-patriarchy-is-a-patriarchy-the-same-as-a-society-led-by-men-or-is-it-more-a-society-led-by||2018-03-02 23:34:03||6.023||6.023||0||0||1115657896876||5.398608316102321e-12||0.04246478611357835||39||2018-03-02 15:50:51||2018-03-02||8||"{""tags"":[""ecotrain"",""freedom"",""family"",""politics"",""activism""]}"||0||1936
walkerland||4000||40||mtnmeadowmomma||50||schooling-decisions-for-the-kiddos-and-me||2018-03-02 23:29:54||0.662||0.662||0||0||123298044118||5.369103822656309e-12||0.04281123764906015||14||2018-03-02 16:35:24||2018-03-02||9||"{""tags"":[""homeschool"",""homesteading"",""life"",""education"",""faith""]}"||0||835
walkerland||10000||100||beatitudes8||55||42vzra-take-my-sbd-please||2018-03-02 23:24:33||1.508||1.508||0||0||278026110109||5.4239510073668595e-12||0.10929030201089875||71||2018-03-02 13:32:15||2018-03-02||54||"{""tags"":[""homesteading"",""basicincome"",""giveaway"",""free"",""contest""]}"||0||53
walkerland||5000||50||freedompoint||59||a-cup-full-of-sunshine-2018-03-02-14-42-56||2018-03-02 23:21:21||2.186||2.186||0||0||406979028963||5.371284131199638e-12||0.0549826911993059||23||2018-03-02 14:42:57||2018-03-02||14||"{""tags"":[""photography"",""art"",""nature"",""food"",""photo"",""love"",""health"",""beautiful"",""beauty"",""life"",""smartphonephotography"",""steepshot""]}"||0||25
walkerland||2000||20||llfarms||51||what-s-cookin-mongolian-beef-recipe||2018-03-02 23:17:45||1.664||1.664||0||0||306929327054||5.421443483330747e-12||0.022198457246965137||24||2018-03-02 18:00:48||2018-03-02||6||"{""tags"":[""food"",""blog"",""life"",""recipes"",""homesteading""]}"||0||544
walkerland||2000||20||qberry||50||information-all-new-stemians-should-know-my-first-30-days-on-steemit-and-guide-for-success||2018-03-02 23:08:09||9.58||9.58||0||0||1766494804028||5.423169079329005e-12||0.022205522813379442||163||2018-03-02 17:50:18||2018-03-02||38||"{""tags"":[""steemit"",""guide"",""minnowsupport"",""steem"",""steem-help""]}"||0||789
walkerland||10000||100||xwalkran||50||force-your-kids-to-get-a-steemit-account||2018-03-02 16:07:21||0.182||0.182||0||0||34030603558||5.348127302232786e-12||0.10478946729334997||5||2018-03-02 14:25:00||2018-03-02||1||"{""tags"":[""steemit"",""blog"",""life"",""funny"",""ocd-resteem""]}"||0||839
walkerland||10000||100||borrowedearth||47||sixty-day-guilt-free-me-time-challenge-day-2||2018-03-02 13:28:48||1.005||1.005||0||0||181652607289||5.532538260797415e-12||0.1078071361134318||8||2018-03-01 20:05:06||2018-03-02||1||"{""tags"":[""sixtydaychallenge"",""selflove"",""happiness"",""life"",""steemitbloggers""]}"||0||238
walkerland||10000||100||phedizzle||48||freedom-challenge-3-my-entry-1519794018||2018-03-02 13:12:54||6.085||6.085||0||0||1128517228193||5.392031107707057e-12||0.10739118282192366||49||2018-02-28 16:11:30||2018-03-02||16||"{""tags"":[""freedomchallenge"",""homesteadersonline"",""earthnation"",""contest"",""life""]}"||0||2169
walkerland||1500||15||weirdheadaches||54||re-walkerland-apple-and-fig-chutney-recipe-20180301t235339703z||2018-03-02 02:26:39||0.014||0.014||0||0||2691438849||5.201678650511298e-12||0.014||1||2018-03-01 23:53:42||2018-03-02||1||"{""tags"":[""recipes""]}"||1||8
walkerland||1500||15||birdsinparadise||38||re-walkerland-apple-and-fig-chutney-recipe-20180301t231127852z||2018-03-02 02:26:33||0.015||0.015||0||0||2799096403||5.358872236027092e-12||0.015000000000000001||1||2018-03-01 23:11:30||2018-03-02||1||"{""tags"":[""recipes""]}"||1||14
walkerland||1500||15||mountainjewel||58||re-walkerland-apple-and-fig-chutney-recipe-20180301t224438294z||2018-03-02 02:26:27||0.015||0.015||0||0||2799096403||5.358872236027092e-12||0.015000000000000001||1||2018-03-01 22:44:39||2018-03-02||2||"{""tags"":[""recipes""]}"||1||19
walkerland||1500||15||mountainjewel||58||re-walkerland-re-mountainjewel-re-walkerland-apple-and-fig-chutney-recipe-20180302t010001537z||2018-03-02 02:26:21||0.015||0.015||0||0||2799096403||5.358872236027092e-12||0.015000000000000001||1||2018-03-02 01:00:03||2018-03-02||0||"{""tags"":[""recipes""]}"||3||25
walkerland||1500||15||andysantics48||48||re-walkerland-re-andysantics48-re-walkerland-apple-and-fig-chutney-recipe-20180302t012504073z||2018-03-02 02:26:06||0.015||0.015||0||0||2799096403||5.358872236027092e-12||0.015000000000000001||1||2018-03-02 01:25:03||2018-03-02||4||"{""tags"":[""recipes""]}"||3||55
walkerland||1500||15||andysantics48||48||re-walkerland-re-andysantics48-re-walkerland-re-andysantics48-re-walkerland-apple-and-fig-chutney-recipe-20180302t015155905z||2018-03-02 02:25:57||0.015||0.015||0||0||2799096403||5.358872236027092e-12||0.015000000000000001||1||2018-03-02 01:51:57||2018-03-02||2||"{""tags"":[""recipes""]}"||5||43
walkerland||1500||15||beyondordinary||51||re-walkerland-stop-wasting-food-20180302t020303493z||2018-03-02 02:23:42||0.015||0.015||0||0||2799096403||5.358872236027092e-12||0.015000000000000001||1||2018-03-02 02:03:03||2018-03-02||1||"{""tags"":[""life""]}"||1||2
walkerland||1500||15||powellx5||51||re-walkerland-stop-wasting-food-20180302t020401852z||2018-03-02 02:23:33||0.015||0.015||0||0||2799096403||5.358872236027092e-12||0.015000000000000001||1||2018-03-02 02:04:03||2018-03-02||1||"{""tags"":[""life""]}"||1||80
walkerland||10000||100||xwalkran||50||bacon-short-story||2018-03-02 01:26:12||0.105||0.105||0||0||18953294850||5.539933865377502e-12||0.10317992115787719||2||2018-03-02 01:15:06||2018-03-02||0||"{""tags"":[""writing"",""story"",""short-story"",""fiction"",""ocd-resteem""]}"||0||813
walkerland||10000||100||xwalkran||50||the-box-factory-short-story||2018-03-01 23:10:27||0.169||0.169||0||0||30528617971||5.535789407844728e-12||0.10250676209698377||5||2018-03-01 23:06:57||2018-03-01||1||"{""tags"":[""writing"",""story"",""short-story"",""fiction"",""ocd-resteem""]}"||0||1196
walkerland||5700||57||wizardave||43||welcome-to-our-lil-homestead-wizstead-1st-post||2018-03-01 22:56:51||5.872||5.872||0||0||1091042733003||5.382007342496871e-12||0.05736196085884008||46||2018-03-01 13:29:21||2018-03-01||24||"{""tags"":[""homesteading"",""wizstead"",""gardening"",""life"",""newbieresteemday""]}"||0||1132
walkerland||5700||57||hopfarmnc||48||pigs-loveing-the-rain-b508a96a2fe6a||2018-03-01 22:44:45||1.025||1.025||0||0||191345371921||5.356805809879674e-12||0.057670061069106666||13||2018-03-01 19:30:48||2018-03-01||8||"{""tags"":[""homesteading"",""permaculture"",""farming"",""animal"",""animals""]}"||0||156
walkerland||5700||57||mountainjewel||58||uhe9pcgm||2018-03-01 22:44:39||7.296||7.296||0||0||1358938878218||5.368894890671883e-12||0.05837821124752717||26||2018-03-01 20:04:00||2018-03-01||11||"{""tags"":[""homesteading"",""dtube"",""gardening"",""nature"",""freedom""]}"||0||502
walkerland||5700||57||bowentroyer||54||meet-the-farmers-cattle-herd||2018-03-01 22:44:21||6.373||6.373||0||0||1188982191230||5.360046640738279e-12||0.059436099593423344||26||2018-03-01 20:58:51||2018-03-01||18||"{""tags"":[""homesteading"",""farming"",""cattle"",""life"",""nature""]}"||0||365
walkerland||5700||57||brimwoodfarm||59||a-frozen-farm||2018-03-01 22:44:15||0.551||0.551||0||0||101400729765||5.4338859422112965e-12||0.06083988239692528||20||2018-03-01 21:37:09||2018-03-01||8||"{""tags"":[""homesteading"",""homesteadersonline"",""animals"",""farming"",""life""]}"||0||565
walkerland||5700||57||mamajeani||42||here-we-grow-again-march-update||2018-03-01 22:42:42||0.139||0.139||0||0||25644920155||5.420176750790122e-12||0.06126991197454169||7||2018-03-01 22:01:30||2018-03-01||2||"{""tags"":[""plantphotography"",""gardening"",""homesteading"",""photography"",""growwithme""]}"||0||253
walkerland||5700||57||twinislandflames||46||skills-i-ve-learned-on-the-homestead-challenge-accepted||2018-03-01 22:39:18||0.898||0.898||0||0||167471432009||5.362108565189441e-12||0.06119077819017684||23||2018-03-01 22:06:21||2018-03-01||8||"{""tags"":[""homesteadingchallenge"",""diy"",""gardening"",""homesteading"",""livesustainably""]}"||0||570
walkerland||10000||100||beatitudes8||55||thank-you-thursdays||2018-03-01 22:30:36||1.934||1.934||0||0||360165161513||5.369758673702795e-12||0.10925997094266326||42||2018-03-01 15:47:12||2018-03-01||15||"{""tags"":[""blog"",""homesteading"",""homesteadersonline"",""community"",""life""]}"||0||431
